Rate,Methode,,TP,TN,FN,FP,Total,Accuracy,F1,TPR,PPV,TNR
12800,HigstNumberOfSyn,total,1,2607,134,100,2842,0.917663617,0.008474576,0.007407407,0.00990099,0.963058737
12800,HigstNumberOfSyn,slowread,0,0,36,0,36,0,0,0,#DIV/0!,#DIV/0!
12800,HigstNumberOfSyn,slowloris,0,0,32,0,32,0,0,0,#DIV/0!,#DIV/0!
12800,HigstNumberOfSyn,ruby,0,0,15,0,15,0,0,0,#DIV/0!,#DIV/0!
12800,HigstNumberOfSyn,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
12800,HigstNumberOfSyn,blacknurse,1,0,9,0,10,0.1,0.181818182,0.1,1,#DIV/0!
12800,HigstNumberOfSyn,xmas,0,0,13,0,13,0,0,0,#DIV/0!,#DIV/0!
12800,HigstNumberOfSyn,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
12800,HigstNumberOfSyn,synflood,0,0,11,0,11,0,0,0,#DIV/0!,#DIV/0!
12800,HigstNumberOfURGPSHFIN,total,10,2697,125,10,2842,0.952498241,0.129032258,0.074074074,0.5,0.996305874
12800,HigstNumberOfURGPSHFIN,slowread,0,0,36,0,36,0,0,0,#DIV/0!,#DIV/0!
12800,HigstNumberOfURGPSHFIN,slowloris,0,0,32,0,32,0,0,0,#DIV/0!,#DIV/0!
12800,HigstNumberOfURGPSHFIN,ruby,0,0,15,0,15,0,0,0,#DIV/0!,#DIV/0!
12800,HigstNumberOfURGPSHFIN,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
12800,HigstNumberOfURGPSHFIN,blacknurse,0,0,10,0,10,0,0,0,#DIV/0!,#DIV/0!
12800,HigstNumberOfURGPSHFIN,xmas,10,0,3,0,13,0.769230769,0.869565217,0.769230769,1,#DIV/0!
12800,HigstNumberOfURGPSHFIN,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
12800,HigstNumberOfURGPSHFIN,synflood,0,0,11,0,11,0,0,0,#DIV/0!,#DIV/0!
12800,countBiflow,total,4,2700,131,7,2842,0.951442646,0.054794521,0.02962963,0.363636364,0.997414112
12800,countBiflow,slowread,0,0,36,0,36,0,0,0,#DIV/0!,#DIV/0!
12800,countBiflow,slowloris,0,0,32,0,32,0,0,0,#DIV/0!,#DIV/0!
12800,countBiflow,ruby,0,0,15,0,15,0,0,0,#DIV/0!,#DIV/0!
12800,countBiflow,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
12800,countBiflow,blacknurse,0,0,10,0,10,0,0,0,#DIV/0!,#DIV/0!
12800,countBiflow,xmas,4,0,9,0,13,0.307692308,0.470588235,0.307692308,1,#DIV/0!
12800,countBiflow,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
12800,countBiflow,synflood,0,0,11,0,11,0,0,0,#DIV/0!,#DIV/0!
12800,totalicmpDUnreachable,total,15,2698,120,9,2842,0.95460943,0.188679245,0.111111111,0.625,0.996675286
12800,totalicmpDUnreachable,slowread,0,0,36,0,36,0,0,0,#DIV/0!,#DIV/0!
12800,totalicmpDUnreachable,slowloris,0,0,32,0,32,0,0,0,#DIV/0!,#DIV/0!
