Rate,Methode,,TP,TN,FN,FP,Total,Accuracy,F1,TPR,PPV,TNR
6400,KMeansentropy,udpflood,6,0,2,0,8,0.75,0.857142857,,,
6400,KMeansentropy,synflood,0,0,13,0,13,0,0,,,
6400,KMeanscombined,total,5051,1897234,137,1111498,3013920,0.631166388,0.009005676,0.973592907,0.00452376,
6400,KMeanscombined,slowread,25,0,12,0,37,0.675675676,0.806451613,,,
6400,KMeanscombined,slowloris,115,0,0,0,115,1,1,,,
6400,KMeanscombined,ruby,5,0,10,0,15,0.333333333,0.5,,,
6400,KMeanscombined,pingflood,2505,0,0,0,2505,1,1,,,
6400,KMeanscombined,blacknurse,617,0,0,0,617,1,1,,,
6400,KMeanscombined,xmas,493,0,2,0,495,0.995959596,0.997975709,,,
6400,KMeanscombined,udpflood,983,0,0,0,983,1,1,,,
6400,KMeanscombined,synflood,308,0,113,0,421,0.731591449,0.844993141,,,
6400,KMeansfields,total,5051,1896472,137,1110964,3012624,0.631184974,0.009009965,0.973592907,0.004525925,
6400,KMeansfields,slowread,25,0,12,0,37,0.675675676,0.806451613,,,
6400,KMeansfields,slowloris,115,0,0,0,115,1,1,,,
6400,KMeansfields,ruby,5,0,10,0,15,0.333333333,0.5,,,
6400,KMeansfields,pingflood,2505,0,0,0,2505,1,1,,,
6400,KMeansfields,blacknurse,617,0,0,0,617,1,1,,,
6400,KMeansfields,xmas,493,0,2,0,495,0.995959596,0.997975709,,,
6400,KMeansfields,udpflood,983,0,0,0,983,1,1,,,
6400,KMeansfields,synflood,308,0,113,0,421,0.731591449,0.844993141,,,
6400,RandomForestentropy,total,25,4916,215,587,5743,0.860351733,0.058685446,0.104166667,0.040849673,
6400,RandomForestentropy,slowread,16,0,71,0,87,0.183908046,0.310679612,,,
6400,RandomForestentropy,slowloris,0,0,60,0,60,0,0,,,
6400,RandomForestentropy,ruby,3,0,20,0,23,0.130434783,0.230769231,,,
6400,RandomForestentropy,pingflood,0,0,19,0,19,0,0,,,
6400,RandomForestentropy,blacknurse,0,0,15,0,15,0,0,,,
6400,RandomForestentropy,xmas,6,0,9,0,15,0.4,0.571428571,,,
6400,RandomForestentropy,udpflood,0,0,8,0,8,0,0,,,
6400,RandomForestentropy,synflood,0,0,13,0,13,0,0,,,
6400,RandomForestcombined,total,1414,3008732,3774,0,3013920,0.99874781,0.428355044,0.272552043,1,
6400,RandomForestcombined,slowread,20,0,17,0,37,0.540540541,0.701754386,,,
